image,change_type
image-102,color
image-103,color
image-104,color
image-105,color
image-106,color
image-107,color
image-108,color
image-109,color
image-110,color
image-111,color
image-112,color
image-113,color
image-114,color
image-115,color
image-116,color
image-117,color
image-118,color
image-119,color
image-120,color
image-121,color
image-122,color
image-123,color
image-124,color
image-125,color
image-126,color
image-127,color
image-128,color
image-129,color
image-130,color
image-131,color
image-132,color
image-133,color
image-134,color
image-135,color
image-136,color
image-137,color
001_L_mirror,disappear
001_R_mirror,disappear
002_L_napkin,disappear
002_R_napkin,disappear
003_L_ducks,disappear
003_R_ducks,disappear
004_L_electricalgrid,disappear
004_R_electricalgrid,disappear
005_L_mirror,disappear
005_R_mirror,disappear
006_L_vase,disappear
006_R_vase,disappear
007_L_soap,disappear
007_R_soap,disappear
008_L_bottle,disappear
008_R_bottle,disappear
009_L_carpet,disappear
009_R_carpet,disappear
010_L_candle,disappear
010_R_candle,disappear
011_L_parfum,disappear
011_R_parfum,disappear
012_L_tubaccesory,disappear
012_R_tubaccesory,disappear
013_L_lamp,disappear
013_R_lamp,disappear
014_L_lamp,disappear
014_R_lamp,disappear
015_L_ceilinglight,disappear
015_R_ceilinglight,disappear
016_L_art,disappear
016_R_art,disappear
017_L_wood,disappear
017_R_wood,disappear
018_L_plant,disappear
018_R_plant,disappear
019_L_lamp_sized,disappear
019_R_lamp_sized,disappear
020_L_walldeco,disappear
020_R_walldeco,disappear
021_L_keyboard,disappear
021_R_keyboard,disappear
022_L_lamp,disappear
022_R_lamp,disappear
023_L_remote,disappear
023_R_remote,disappear
024_L_towels,disappear
024_R_towels,disappear
025_L_vase,disappear
025_R_vase,disappear
026_L_rack,disappear
026_R_rack,disappear
027_L_soapdish,disappear
027_R_soapdish,disappear
028_L_vase,disappear
028_R_vase,disappear
029_L_glass,disappear
029_R_glass,disappear
030_L_drawer,disappear
030_R_drawer,disappear
031_L_log,disappear
031_R_log,disappear
032_L_bottle,disappear
032_R_bottle,disappear
033_L_vase,disappear
033_R_vase,disappear
034_L_handle,disappear
034_R_handle,disappear
035_L_fruit,disappear
035_R_fruit,disappear
036_L_bowl,disappear
036_R_bowl,disappear
037_L_towel,disappear
037_R_towel,disappear
038_L_art,disappear
038_R_art,disappear
039_L_ventilator,disappear
039_R_ventilator,disappear
040_L_painting,disappear
040_R_painting,disappear
041_L_fruit,disappear
041_R_fruit,disappear
042_L_tap,disappear
042_R_tap,disappear
043_L_clock,disappear
043_R_clock,disappear
044_L_light,disappear
044_R_light,disappear
045_L_musicdock,disappear
045_R_musicdock,disappear
046_L_remote,disappear
046_R_remote,disappear
047_L_handle,disappear
047_R_handle,disappear
048_L_art,disappear
048_R_art,disappear
049_L_painting,disappear
049_R_painting,disappear
050_L_book,disappear
050_R_book,disappear
051_L_owl,disappear
051_R_owl,disappear
052_L_speaker,disappear
052_R_speaker,disappear
053_L_handle,disappear
053_R_handle,disappear
054_L_firewood,disappear
054_R_firewood,disappear
055_L_carpet,disappear
055_R_carpet,disappear
056_L_comforter,disappear
056_R_comforter,disappear
057_L_bin,disappear
057_R_bin,disappear
058_L_clutch,disappear
058_R_clutch,disappear
059_L_car,disappear
059_R_car,disappear
060_L_pillow,disappear
060_R_pillow,disappear
061_L_glass,disappear
061_R_glass,disappear
062_L_flowers,disappear
062_R_flowers,disappear
063_L_laptop,disappear
063_R_laptop,disappear
064_L_bottles,disappear
064_R_bottles,disappear
065_L_cd,disappear
065_R_cd,disappear
066_L_vase,disappear
066_R_vase,disappear
067_L_painting,disappear
067_R_painting,disappear
068_L_faucet,disappear
068_R_faucet,disappear
069_L_things,disappear
069_R_things,disappear
070_L_lamp,disappear
070_R_lamp,disappear
071_L_art,disappear
071_R_art,disappear
072_L_handle,disappear
072_R_handle,disappear
073_L_coffeemug,disappear
073_R_coffeemug,disappear
074_L_book,disappear
074_R_book,disappear
075_L_light,disappear
075_R_light,disappear
076_L_hook,disappear
076_R_hook,disappear
077_L_footrest,disappear
077_R_footrest,disappear
078_L_faucet,disappear
078_R_faucet,disappear
079_L_bowl,disappear
079_R_bowl,disappear
080_L_plant,disappear
080_R_plant,disappear
081_L_football,disappear
081_R_football,disappear
082_L_bowl,disappear
082_R_bowl,disappear
083_L_knob,disappear
083_R_knob,disappear
084_L_light,disappear
084_R_light,disappear
085_L_switchboard,disappear
085_R_switchboard,disappear
086_L_book,disappear
086_R_book,disappear
087_L_towelhandle,disappear
087_R_towelhandle,disappear
088_L_clock,disappear
088_R_clock,disappear
089_L_poster,disappear
089_R_poster,disappear
090_L_lamp,disappear
090_R_lamp,disappear
091_L_airfreshener,disappear
091_R_airfreshener,disappear
092_L_candles,disappear
092_R_candles,disappear
093_L_switch,disappear
093_R_switch,disappear
094_L_ball,disappear
094_R_ball,disappear
095_L_candle,disappear
095_R_candle,disappear
096_L_painting,disappear
096_R_painting,disappear
097_L_light,disappear
097_R_light,disappear
098_L_slippers,disappear
098_R_slippers,disappear
099_L_sconce,disappear
099_R_sconce,disappear
100_L_mirror,disappear
100_R_mirror,disappear
101_L_cup,disappear
101_R_cup,disappear
102_L_shoppingbag,disappear
102_R_shoppingbag,disappear
103_L_hook,disappear
103_R_hook,disappear
104_L_bottle,disappear
104_R_bottle,disappear
105_L_hat,disappear
105_R_hat,disappear
106_L_toweldispenser,disappear
106_R_toweldispenser,disappear
107_L_shirts,disappear
107_R_shirts,disappear
108_L_boa,disappear
108_R_boa,disappear
109_L_pillow,disappear
109_R_pillow,disappear
110_L_plant,disappear
110_R_plant,disappear
111_L_pot,disappear
111_R_pot,disappear
112_L_basket,disappear
112_R_basket,disappear
113_L_plant,disappear
113_R_plant,disappear
114_L_bird,disappear
114_R_bird,disappear
115_L_pot,disappear
115_R_pot,disappear
116_L_basket,disappear
116_R_basket,disappear
117_L_plant_sized,disappear
117_R_plant_sized,disappear
118_L_shoes,disappear
118_R_shoes,disappear
119_L_painting,disappear
119_R_painting,disappear
120_L_art,disappear
120_R_art,disappear
121_L_car,disappear
121_R_car,disappear
122_L_chair,disappear
122_R_chair,disappear
123_L_pot,disappear
123_R_pot,disappear
124_L_vase,disappear
124_R_vase,disappear
125_L_sofa,disappear
125_R_sofa,disappear
126_L_candles,disappear
126_R_candles,disappear
127_L_light,disappear
127_R_light,disappear
128_L_pot,disappear
128_R_pot,disappear
